iter	Passed	Remaining
0	35	35631
1	68	34275
2	100	33543
3	135	33823
4	163	32485
5	191	31790
6	215	30604
7	240	29784
8	267	29438
9	291	28899
10	317	28502
11	343	28302
12	371	28178
13	397	27974
14	418	27497
15	446	27481
16	469	27163
17	496	27066
18	521	26945
19	547	26811
20	602	28082
21	632	28116
22	667	28351
23	695	28289
24	728	28422
25	762	28578
26	800	28831
27	823	28584
28	844	28280
29	873	28229
30	904	28279
31	940	28435
32	977	28632
33	1008	28664
34	1032	28462
35	1061	28419
36	1096	28547
37	1126	28524
38	1154	28453
39	1180	28341
40	1207	28247
41	1237	28232
42	1263	28123
43	1290	28031
44	1318	27971
45	1342	27840
46	1369	27766
47	1396	27692
48	1427	27710
49	1455	27655
50	1483	27599
51	1512	27578
52	1541	27552
53	1574	27591
54	1600	27501
55	1628	27445
56	1653	27358
57	1678	27260
58	1704	27181
59	1730	27110
60	1760	27098
61	1790	27086
62	1821	27093
63	1849	27046
64	1875	26975
65	1900	26892
66	1926	26824
67	1957	26833
68	1989	26845
69	2019	26834
70	2045	26765
71	2071	26700
72	2099	26665
73	2125	26595
74	2152	26552
75	2177	26473
76	2207	26462
77	2235	26423
78	2262	26380
79	2286	26296
80	2312	26239
81	2341	26209
82	2370	26186
83	2398	26149
84	2424	26099
85	2452	26061
86	2479	26016
87	2506	25975
88	2532	25921
89	2553	25818
90	2580	25775
91	2604	25708
92	2628	25635
93	2655	25593
94	2684	25570
95	2713	25550
96	2740	25508
97	2767	25472
98	2791	25404
99	2818	25362
100	2838	25269
101	2864	25214
102	2889	25163
103	2912	25088
104	2933	25007
105	2962	24982
106	2989	24945
107	3017	24921
108	3048	24918
109	3077	24898
110	3107	24890
111	3141	24909
112	3174	24914
113	3204	24903
114	3241	24947
115	3282	25013
116	3305	24947
117	3327	24875
118	3355	24844
119	3379	24781
120	3408	24760
121	3444	24790
122	3484	24848
123	3538	24995
124	3574	25020
125	3602	24986
126	3626	24930
127	3650	24865
128	3681	24860
129	3714	24860
130	3743	24835
131	3780	24858
132	3813	24862
133	3844	24847
134	3878	24851
135	3913	24860
136	3945	24854
137	3973	24819
138	4000	24777
139	4026	24732
140	4051	24682
141	4077	24640
142	4104	24599
143	4134	24576
144	4162	24544
145	4188	24499
146	4213	24451
147	4238	24402
148	4265	24362
149	4290	24312
150	4320	24293
151	4350	24270
152	4376	24227
153	4400	24176
154	4432	24162
155	4464	24155
156	4496	24144
157	4528	24132
158	4562	24133
159	4596	24129
160	4622	24090
161	4656	24088
162	4686	24065
163	4716	24042
164	4740	23992
165	4766	23948
166	4793	23907
167	4819	23867
168	4847	23835
169	4875	23804
170	4907	23791
171	4937	23768
172	4967	23744
173	4991	23696
174	5017	23651
175	5044	23616
176	5073	23591
177	5103	23565
178	5126	23515
179	5154	23482
180	5181	23446
181	5206	23399
182	5229	23346
183	5251	23290
184	5278	23251
185	5302	23206
186	5326	23159
187	5350	23111
188	5375	23064
189	5400	23021
190	5423	22972
191	5453	22949
192	5482	22923
193	5508	22887
194	5541	22878
195	5571	22852
196	5600	22827
197	5629	22803
198	5655	22763
199	5682	22730
200	5709	22697
201	5738	22670
202	5767	22642
203	5796	22617
204	5821	22577
205	5846	22535
206	5877	22514
207	5905	22487
208	5941	22486
209	5976	22481
210	6010	22476
211	6048	22480
212	6097	22528
213	6145	22573
214	6182	22574
215	6219	22574
216	6259	22586
217	6291	22567
218	6327	22563
219	6353	22527
220	6381	22492
221	6406	22450
222	6436	22425
223	6466	22402
224	6493	22365
225	6518	22325
226	6546	22292
227	6572	22253
228	6603	22232
229	6631	22199
230	6658	22167
231	6683	22125
232	6705	22072
233	6729	22028
234	6751	21979
235	6779	21946
236	6805	21910
237	6831	21870
238	6856	21830
239	6881	21792
240	6907	21753
241	6930	21708
242	6959	21680
243	6987	21651
244	7016	21621
245	7042	21585
246	7063	21533
247	7086	21486
248	7110	21446
249	7138	21416
250	7168	21392
251	7195	21357
252	7217	21310
253	7244	21275
254	7269	21238
255	7295	21201
256	7319	21161
257	7343	21119
258	7369	21085
259	7392	21040
260	7416	20999
261	7441	20960
262	7467	20926
263	7494	20893
264	7517	20850
265	7540	20807
266	7561	20757
267	7587	20725
268	7615	20694
269	7641	20661
270	7664	20618
271	7692	20587
272	7717	20552
273	7741	20513
274	7766	20476
275	7790	20435
276	7815	20398
277	7840	20363
278	7868	20333
279	7900	20316
280	7937	20309
281	7966	20283
282	7996	20258
283	8022	20225
284	8049	20194
285	8072	20154
286	8099	20122
287	8128	20096
288	8158	20070
289	8185	20039
290	8219	20026
291	8249	20001
292	8283	19988
293	8312	19961
294	8342	19937
295	8370	19908
296	8400	19884
297	8454	19917
298	8493	19913
299	8535	19915
300	8566	19892
301	8595	19866
302	8626	19844
303	8659	19825
304	8699	19824
305	8735	19810
306	8760	19774
307	8781	19730
308	8803	19687
309	8821	19635
310	8841	19586
311	8863	19544
312	8886	19504
313	8905	19455
314	8927	19413
315	8947	19367
316	8967	19320
317	8986	19272
318	9004	19223
