iter	Passed	Remaining
0	8	8257
1	13	6493
2	17	5798
3	22	5480
4	26	5336
5	31	5211
6	35	5064
7	40	5032
8	45	4969
9	49	4893
10	54	4865
11	58	4820
12	62	4779
13	67	4738
14	71	4722
15	76	4699
16	80	4667
17	84	4634
18	89	4641
19	93	4603
20	97	4568
21	103	4595
22	107	4584
23	112	4562
24	116	4550
25	121	4542
26	125	4531
27	130	4522
28	134	4506
29	138	4486
30	142	4463
31	147	4448
32	151	4433
33	155	4414
34	159	4404
35	163	4391
36	168	4374
37	172	4369
38	177	4365
39	181	4349
40	185	4337
41	189	4323
42	192	4290
43	196	4278
44	201	4270
45	205	4257
46	209	4249
47	214	4244
48	218	4236
49	222	4224
50	226	4221
51	231	4215
52	235	4208
53	239	4202
54	244	4202
55	248	4193
56	253	4186
57	257	4184
58	261	4174
59	265	4162
60	270	4166
61	274	4157
62	277	4128
63	281	4119
64	285	4113
65	290	4104
66	294	4096
67	298	4092
68	302	4084
69	306	4077
70	311	4075
71	316	4074
72	320	4067
73	325	4068
74	329	4060
75	333	4055
76	337	4049
77	341	4039
78	345	4023
79	349	4016
80	354	4016
81	358	4008
82	362	4005
83	367	4002
84	371	3993
85	375	3985
86	379	3979
87	383	3975
88	387	3968
89	392	3965
90	396	3958
91	400	3950
92	404	3943
93	408	3940
94	412	3933
95	416	3925
96	421	3921
97	425	3915
98	429	3911
99	434	3906
100	438	3904
101	442	3899
102	447	3894
103	451	3891
104	455	3885
105	460	3880
106	464	3877
107	468	3871
108	472	3865
109	476	3858
110	481	3853
111	485	3849
112	489	3842
113	493	3838
114	498	3833
115	502	3826
116	506	3822
117	510	3816
118	515	3812
119	519	3807
120	523	3801
121	527	3794
122	531	3790
123	536	3786
124	540	3780
125	544	3773
126	548	3769
127	552	3762
128	556	3756
129	560	3752
130	564	3745
131	568	3740
132	573	3738
133	578	3735
134	582	3729
135	586	3723
136	590	3718
137	594	3714
138	598	3708
139	603	3706
140	607	3701
141	611	3696
142	616	3692
143	620	3687
144	624	3681
145	628	3675
146	632	3669
147	636	3665
148	640	3660
149	645	3656
150	649	3651
151	651	3635
152	655	3631
153	659	3625
154	664	3619
155	668	3616
156	672	3610
157	676	3605
158	680	3599
159	685	3596
160	688	3590
161	693	3585
162	697	3582
